tSigma	L	C	S	PYRAMIDLVL	TARGET	response_type	statistic	eccentricity	N
918.130146	5	5	4	1	1	Eabs	sigma	1	22917
939.266730	5	5	5	1	1	Eabs	sigma	1	33385
945.210889	5	5	6	1	1	Eabs	sigma	1	38871
921.912054	5	5	7	1	1	Eabs	sigma	1	38130
933.342158	5	5	8	1	1	Eabs	sigma	1	33690
899.723068	5	5	9	1	1	Eabs	sigma	1	27416
833.427284	5	5	10	1	1	Eabs	sigma	1	21243
1186.719336	5	6	1	1	1	Eabs	sigma	1	7788
1179.572244	5	6	2	1	1	Eabs	sigma	1	18381
1204.228398	5	6	3	1	1	Eabs	sigma	1	38440
1208.191664	5	6	4	1	1	Eabs	sigma	1	68126
1221.221089	5	6	5	1	1	Eabs	sigma	1	100813
1223.414670	5	6	6	1	1	Eabs	sigma	1	119283
1214.543915	5	6	7	1	1	Eabs	sigma	1	115458
1204.014643	5	6	8	1	1	Eabs	sigma	1	96928
1180.805632	5	6	9	1	1	Eabs	sigma	1	73753
1123.685886	5	6	10	1	1	Eabs	sigma	1	50151
1730.321228	5	7	1	1	1	Eabs	sigma	1	14470
1695.230095	5	7	2	1	1	Eabs	sigma	1	37039
1707.585585	5	7	3	1	1	Eabs	sigma	1	80694
1697.663721	5	7	4	1	1	Eabs	sigma	1	148772
1678.904508	5	7	5	1	1	Eabs	sigma	1	227466
1666.216479	5	7	6	1	1	Eabs	sigma	1	276646
1651.543713	5	7	7	1	1	Eabs	sigma	1	269932
1630.360572	5	7	8	1	1	Eabs	sigma	1	226541
1609.725438	5	7	9	1	1	Eabs	sigma	1	167896
1543.495640	5	7	10	1	1	Eabs	sigma	1	108540
2484.710903	5	8	1	1	1	Eabs	sigma	1	21286
2471.756737	5	8	2	1	1	Eabs	sigma	1	51771
2483.539963	5	8	3	1	1	Eabs	sigma	1	110066
2495.358567	5	8	4	1	1	Eabs	sigma	1	204454
2457.446287	5	8	5	1	1	Eabs	sigma	1	314134
2419.850422	5	8	6	1	1	Eabs	sigma	1	385230
