tSigma	L	C	S	PYRAMIDLVL	TARGET	response_type	statistic	eccentricity	N
4180.386090	4	8	8	1	1	Eabs	mean	1	294171
4002.199321	4	8	9	1	1	Eabs	mean	1	220302
3715.720129	4	8	10	1	1	Eabs	mean	1	139832
5993.668142	4	9	1	1	1	Eabs	mean	1	16988
6305.880633	4	9	2	1	1	Eabs	mean	1	42121
6427.324262	4	9	3	1	1	Eabs	mean	1	94735
6354.083279	4	9	4	1	1	Eabs	mean	1	181432
6214.840630	4	9	5	1	1	Eabs	mean	1	282015
6045.070532	4	9	6	1	1	Eabs	mean	1	347477
5873.488280	4	9	7	1	1	Eabs	mean	1	348080
5687.671007	4	9	8	1	1	Eabs	mean	1	296609
5452.533501	4	9	9	1	1	Eabs	mean	1	220533
5105.848760	4	9	10	1	1	Eabs	mean	1	138436
7509.633458	4	10	1	1	1	Eabs	mean	1	10490
8254.038991	4	10	2	1	1	Eabs	mean	1	25639
8574.563232	4	10	3	1	1	Eabs	mean	1	59035
8466.173840	4	10	4	1	1	Eabs	mean	1	118524
8230.878796	4	10	5	1	1	Eabs	mean	1	190687
7957.297053	4	10	6	1	1	Eabs	mean	1	241586
7648.521110	4	10	7	1	1	Eabs	mean	1	251141
7406.900228	4	10	8	1	1	Eabs	mean	1	219626
7170.912254	4	10	9	1	1	Eabs	mean	1	162027
6822.085498	4	10	10	1	1	Eabs	mean	1	98084
509.785041	5	1	1	1	1	Eabs	mean	1	7770
510.335612	5	1	2	1	1	Eabs	mean	1	6935
506.142731	5	1	3	1	1	Eabs	mean	1	5023
490.470858	5	1	4	1	1	Eabs	mean	1	3814
469.763748	5	1	5	1	1	Eabs	mean	1	2907
457.586377	5	1	6	1	1	Eabs	mean	1	2160
450.610798	5	1	7	1	1	Eabs	mean	1	1560
441.175819	5	1	8	1	1	Eabs	mean	1	1212
435.397227	5	1	9	1	1	Eabs	mean	1	741
NaN	5	1	10	1	1	Eabs	mean	1	188
709.765092	5	2	1	1	1	Eabs	mean	1	748
701.807484	5	2	2	1	1	Eabs	mean	1	1512
694.990984	5	2	3	1	1	Eabs	mean	1	2713
668.360108	5	2	4	1	1	Eabs	mean	1	4440
635.255463	5	2	5	1	1	Eabs	mean	1	5886
635.051958	5	2	6	1	1	Eabs	mean	1	5285
631.118426	5	2	7	1	1	Eabs	mean	1	4588
627.400574	5	2	8	1	1	Eabs	mean	1	3908
580.830278	5	2	9	1	1	Eabs	mean	1	3139
530.195845	5	2	10	1	1	Eabs	mean	1	2129
1180.847938	5	3	1	1	1	Eabs	mean	1	651
1141.903660	5	3	2	1	1	Eabs	mean	1	1230
1133.539586	5	3	3	1	1	Eabs	mean	1	2316
1025.046876	5	3	4	1	1	Eabs	mean	1	4326
928.275430	5	3	5	1	1	Eabs	mean	1	7622
