tSigma	L	C	S	PYRAMIDLVL	TARGET	response_type	statistic	eccentricity	N
53.795532	3	9	2	1	1	tMatch	sigma	1	33281
61.982090	3	9	3	1	1	tMatch	sigma	1	75589
74.320555	3	9	4	1	1	tMatch	sigma	1	145958
92.340783	3	9	5	1	1	tMatch	sigma	1	227716
117.258963	3	9	6	1	1	tMatch	sigma	1	280547
150.057378	3	9	7	1	1	tMatch	sigma	1	279652
188.953543	3	9	8	1	1	tMatch	sigma	1	238653
233.674843	3	9	9	1	1	tMatch	sigma	1	177225
284.922310	3	9	10	1	1	tMatch	sigma	1	111843
73.167996	3	10	1	1	1	tMatch	sigma	1	7092
79.131595	3	10	2	1	1	tMatch	sigma	1	18255
90.336816	3	10	3	1	1	tMatch	sigma	1	43571
107.881882	3	10	4	1	1	tMatch	sigma	1	89122
134.925731	3	10	5	1	1	tMatch	sigma	1	142668
171.923394	3	10	6	1	1	tMatch	sigma	1	181106
218.335295	3	10	7	1	1	tMatch	sigma	1	186207
273.031800	3	10	8	1	1	tMatch	sigma	1	161179
334.726181	3	10	9	1	1	tMatch	sigma	1	117582
403.689342	3	10	10	1	1	tMatch	sigma	1	70754
3.782332	4	1	1	1	1	tMatch	sigma	1	201
4.897020	4	1	2	1	1	tMatch	sigma	1	318
5.693717	4	1	3	1	1	tMatch	sigma	1	413
7.430135	4	1	4	1	1	tMatch	sigma	1	497
9.946360	4	1	5	1	1	tMatch	sigma	1	460
12.194643	4	1	6	1	1	tMatch	sigma	1	372
14.909103	4	1	7	1	1	tMatch	sigma	1	240
NaN	4	1	8	1	1	tMatch	sigma	1	159
NaN	4	1	9	1	1	tMatch	sigma	1	64
NaN	4	1	10	1	1	tMatch	sigma	1	13
4.811060	4	2	1	1	1	tMatch	sigma	1	558
5.685212	4	2	2	1	1	tMatch	sigma	1	985
7.430351	4	2	3	1	1	tMatch	sigma	1	1670
9.329106	4	2	4	1	1	tMatch	sigma	1	2289
11.704827	4	2	5	1	1	tMatch	sigma	1	2644
15.174895	4	2	6	1	1	tMatch	sigma	1	2521
