tSigma	L	C	S	PYRAMIDLVL	TARGET	response_type	statistic	eccentricity
0.000077	4	1	4	1	1	tMatch	sigma	5
0.000099	4	1	5	1	1	tMatch	sigma	5
0.000127	4	1	6	1	1	tMatch	sigma	5
0.000160	4	1	7	1	1	tMatch	sigma	5
0.000199	4	1	8	1	1	tMatch	sigma	5
0.000241	4	1	9	1	1	tMatch	sigma	5
0.000296	4	1	10	1	1	tMatch	sigma	5
0.000074	4	2	1	1	1	tMatch	sigma	5
0.000089	4	2	2	1	1	tMatch	sigma	5
0.000098	4	2	3	1	1	tMatch	sigma	5
0.000108	4	2	4	1	1	tMatch	sigma	5
0.000145	4	2	5	1	1	tMatch	sigma	5
0.000191	4	2	6	1	1	tMatch	sigma	5
0.000243	4	2	7	1	1	tMatch	sigma	5
0.000302	4	2	8	1	1	tMatch	sigma	5
0.000365	4	2	9	1	1	tMatch	sigma	5
0.000444	4	2	10	1	1	tMatch	sigma	5
0.000111	4	3	1	1	1	tMatch	sigma	5
0.000131	4	3	2	1	1	tMatch	sigma	5
0.000133	4	3	3	1	1	tMatch	sigma	5
0.000148	4	3	4	1	1	tMatch	sigma	5
0.000212	4	3	5	1	1	tMatch	sigma	5
0.000287	4	3	6	1	1	tMatch	sigma	5
0.000370	4	3	7	1	1	tMatch	sigma	5
0.000461	4	3	8	1	1	tMatch	sigma	5
0.000555	4	3	9	1	1	tMatch	sigma	5
0.000668	4	3	10	1	1	tMatch	sigma	5
0.000162	4	4	1	1	1	tMatch	sigma	5
0.000189	4	4	2	1	1	tMatch	sigma	5
0.000180	4	4	3	1	1	tMatch	sigma	5
0.000204	4	4	4	1	1	tMatch	sigma	5
0.000312	4	4	5	1	1	tMatch	sigma	5
0.000434	4	4	6	1	1	tMatch	sigma	5
0.000564	4	4	7	1	1	tMatch	sigma	5
0.000700	4	4	8	1	1	tMatch	sigma	5
0.000840	4	4	9	1	1	tMatch	sigma	5
0.000998	4	4	10	1	1	tMatch	sigma	5
0.000237	4	5	1	1	1	tMatch	sigma	5
0.000271	4	5	2	1	1	tMatch	sigma	5
0.000238	4	5	3	1	1	tMatch	sigma	5
0.000285	4	5	4	1	1	tMatch	sigma	5
0.000460	4	5	5	1	1	tMatch	sigma	5
0.000656	4	5	6	1	1	tMatch	sigma	5
0.000855	4	5	7	1	1	tMatch	sigma	5
0.001064	4	5	8	1	1	tMatch	sigma	5
0.001270	4	5	9	1	1	tMatch	sigma	5
0.001494	4	5	10	1	1	tMatch	sigma	5
0.000328	4	6	1	1	1	tMatch	sigma	5
0.000376	4	6	2	1	1	tMatch	sigma	5
0.000301	4	6	3	1	1	tMatch	sigma	5
0.000399	4	6	4	1	1	tMatch	sigma	5
0.000682	4	6	5	1	1	tMatch	sigma	5
0.000989	4	6	6	1	1	tMatch	sigma	5
0.001304	4	6	7	1	1	tMatch	sigma	5
0.001621	4	6	8	1	1	tMatch	sigma	5
0.001923	4	6	9	1	1	tMatch	sigma	5
0.002233	4	6	10	1	1	tMatch	sigma	5
0.000464	4	7	1	1	1	tMatch	sigma	5
0.000503	4	7	2	1	1	tMatch	sigma	5
0.000365	4	7	3	1	1	tMatch	sigma	5
0.000572	4	7	4	1	1	tMatch	sigma	5
0.001011	4	7	5	1	1	tMatch	sigma	5
0.001485	4	7	6	1	1	tMatch	sigma	5
0.001979	4	7	7	1	1	tMatch	sigma	5
0.002462	4	7	8	1	1	tMatch	sigma	5
0.002888	4	7	9	1	1	tMatch	sigma	5
0.003305	4	7	10	1	1	tMatch	sigma	5
NaN	4	8	1	1	1	tMatch	sigma	5
0.000682	4	8	2	1	1	tMatch	sigma	5
0.000440	4	8	3	1	1	tMatch	sigma	5
0.000824	4	8	4	1	1	tMatch	sigma	5
0.001491	4	8	5	1	1	tMatch	sigma	5
0.002229	4	8	6	1	1	tMatch	sigma	5
0.002981	4	8	7	1	1	tMatch	sigma	5
0.003670	4	8	8	1	1	tMatch	sigma	5
0.004277	4	8	9	1	1	tMatch	sigma	5
0.004837	4	8	10	1	1	tMatch	sigma	5
NaN	4	9	1	1	1	tMatch	sigma	5
NaN	4	9	2	1	1	tMatch	sigma	5
0.000572	4	9	3	1	1	tMatch	sigma	5
0.001164	4	9	4	1	1	tMatch	sigma	5
0.002168	4	9	5	1	1	tMatch	sigma	5
0.003272	4	9	6	1	1	tMatch	sigma	5
0.004389	4	9	7	1	1	tMatch	sigma	5
0.005349	4	9	8	1	1	tMatch	sigma	5
0.006197	4	9	9	1	1	tMatch	sigma	5
0.006943	4	9	10	1	1	tMatch	sigma	5
NaN	4	10	1	1	1	tMatch	sigma	5
NaN	4	10	2	1	1	tMatch	sigma	5
0.000712	4	10	3	1	1	tMatch	sigma	5
0.001646	4	10	4	1	1	tMatch	sigma	5
0.003165	4	10	5	1	1	tMatch	sigma	5
0.004858	4	10	6	1	1	tMatch	sigma	5
0.006263	4	10	7	1	1	tMatch	sigma	5
0.007545	4	10	8	1	1	tMatch	sigma	5
0.008665	4	10	9	1	1	tMatch	sigma	5
0.009676	4	10	10	1	1	tMatch	sigma	5
0.000073	5	1	1	1	1	tMatch	sigma	5
0.000086	5	1	2	1	1	tMatch	sigma	5
0.000093	5	1	3	1	1	tMatch	sigma	5
0.000107	5	1	4	1	1	tMatch	sigma	5
0.000142	5	1	5	1	1	tMatch	sigma	5
0.000182	5	1	6	1	1	tMatch	sigma	5
0.000230	5	1	7	1	1	tMatch	sigma	5
0.000282	5	1	8	1	1	tMatch	sigma	5
0.000342	5	1	9	1	1	tMatch	sigma	5
0.000418	5	1	10	1	1	tMatch	sigma	5
0.000108	5	2	1	1	1	tMatch	sigma	5
0.000124	5	2	2	1	1	tMatch	sigma	5
0.000133	5	2	3	1	1	tMatch	sigma	5
0.000148	5	2	4	1	1	tMatch	sigma	5
0.000205	5	2	5	1	1	tMatch	sigma	5
0.000270	5	2	6	1	1	tMatch	sigma	5
0.000343	5	2	7	1	1	tMatch	sigma	5
0.000425	5	2	8	1	1	tMatch	sigma	5
0.000512	5	2	9	1	1	tMatch	sigma	5
0.000623	5	2	10	1	1	tMatch	sigma	5
0.000158	5	3	1	1	1	tMatch	sigma	5
0.000182	5	3	2	1	1	tMatch	sigma	5
0.000184	5	3	3	1	1	tMatch	sigma	5
0.000206	5	3	4	1	1	tMatch	sigma	5
0.000298	5	3	5	1	1	tMatch	sigma	5
0.000405	5	3	6	1	1	tMatch	sigma	5
0.000518	5	3	7	1	1	tMatch	sigma	5
0.000644	5	3	8	1	1	tMatch	sigma	5
0.000774	5	3	9	1	1	tMatch	sigma	5
0.000933	5	3	10	1	1	tMatch	sigma	5
0.000230	5	4	1	1	1	tMatch	sigma	5
0.000263	5	4	2	1	1	tMatch	sigma	5
0.000253	5	4	3	1	1	tMatch	sigma	5
0.000287	5	4	4	1	1	tMatch	sigma	5
0.000437	5	4	5	1	1	tMatch	sigma	5
0.000609	5	4	6	1	1	tMatch	sigma	5
0.000787	5	4	7	1	1	tMatch	sigma	5
0.000977	5	4	8	1	1	tMatch	sigma	5
0.001172	5	4	9	1	1	tMatch	sigma	5
0.001396	5	4	10	1	1	tMatch	sigma	5
0.000334	5	5	1	1	1	tMatch	sigma	5
0.000378	5	5	2	1	1	tMatch	sigma	5
0.000333	5	5	3	1	1	tMatch	sigma	5
0.000400	5	5	4	1	1	tMatch	sigma	5
0.000646	5	5	5	1	1	tMatch	sigma	5
0.000916	5	5	6	1	1	tMatch	sigma	5
0.001194	5	5	7	1	1	tMatch	sigma	5
0.001487	5	5	8	1	1	tMatch	sigma	5
0.001775	5	5	9	1	1	tMatch	sigma	5
0.002089	5	5	10	1	1	tMatch	sigma	5
0.000452	5	6	1	1	1	tMatch	sigma	5
0.000520	5	6	2	1	1	tMatch	sigma	5
0.000417	5	6	3	1	1	tMatch	sigma	5
0.000558	5	6	4	1	1	tMatch	sigma	5
0.000953	5	6	5	1	1	tMatch	sigma	5
0.001379	5	6	6	1	1	tMatch	sigma	5
0.001818	5	6	7	1	1	tMatch	sigma	5
0.002268	5	6	8	1	1	tMatch	sigma	5
0.002691	5	6	9	1	1	tMatch	sigma	5
0.003122	5	6	10	1	1	tMatch	sigma	5
0.000628	5	7	1	1	1	tMatch	sigma	5
0.000716	5	7	2	1	1	tMatch	sigma	5
0.000491	5	7	3	1	1	tMatch	sigma	5
0.000790	5	7	4	1	1	tMatch	sigma	5
0.001407	5	7	5	1	1	tMatch	sigma	5
0.002077	5	7	6	1	1	tMatch	sigma	5
0.002765	5	7	7	1	1	tMatch	sigma	5
0.003447	5	7	8	1	1	tMatch	sigma	5
0.004054	5	7	9	1	1	tMatch	sigma	5
0.004645	5	7	10	1	1	tMatch	sigma	5
NaN	5	8	1	1	1	tMatch	sigma	5
0.000931	5	8	2	1	1	tMatch	sigma	5
0.000578	5	8	3	1	1	tMatch	sigma	5
0.001129	5	8	4	1	1	tMatch	sigma	5
0.002071	5	8	5	1	1	tMatch	sigma	5
0.003109	5	8	6	1	1	tMatch	sigma	5
0.004166	5	8	7	1	1	tMatch	sigma	5
0.005164	5	8	8	1	1	tMatch	sigma	5
0.006011	5	8	9	1	1	tMatch	sigma	5
0.006796	5	8	10	1	1	tMatch	sigma	5
NaN	5	9	1	1	1	tMatch	sigma	5
NaN	5	9	2	1	1	tMatch	sigma	5
0.000729	5	9	3	1	1	tMatch	sigma	5
0.001599	5	9	4	1	1	tMatch	sigma	5
0.003010	5	9	5	1	1	tMatch	sigma	5
0.004596	5	9	6	1	1	tMatch	sigma	5
0.006142	5	9	7	1	1	tMatch	sigma	5
0.007494	5	9	8	1	1	tMatch	sigma	5
0.008679	5	9	9	1	1	tMatch	sigma	5
0.009742	5	9	10	1	1	tMatch	sigma	5
NaN	5	10	1	1	1	tMatch	sigma	5
NaN	5	10	2	1	1	tMatch	sigma	5
0.000899	5	10	3	1	1	tMatch	sigma	5
0.002177	5	10	4	1	1	tMatch	sigma	5
0.004353	5	10	5	1	1	tMatch	sigma	5
0.006631	5	10	6	1	1	tMatch	sigma	5
0.008705	5	10	7	1	1	tMatch	sigma	5
0.010520	5	10	8	1	1	tMatch	sigma	5
0.012116	5	10	9	1	1	tMatch	sigma	5
0.013446	5	10	10	1	1	tMatch	sigma	5
0.000105	6	1	1	1	1	tMatch	sigma	5
0.000126	6	1	2	1	1	tMatch	sigma	5
0.000129	6	1	3	1	1	tMatch	sigma	5
0.000146	6	1	4	1	1	tMatch	sigma	5
0.000198	6	1	5	1	1	tMatch	sigma	5
0.000256	6	1	6	1	1	tMatch	sigma	5
0.000322	6	1	7	1	1	tMatch	sigma	5
0.000396	6	1	8	1	1	tMatch	sigma	5
0.000476	6	1	9	1	1	tMatch	sigma	5
0.000585	6	1	10	1	1	tMatch	sigma	5
0.000149	6	2	1	1	1	tMatch	sigma	5
0.000174	6	2	2	1	1	tMatch	sigma	5
0.000185	6	2	3	1	1	tMatch	sigma	5
0.000207	6	2	4	1	1	tMatch	sigma	5
0.000287	6	2	5	1	1	tMatch	sigma	5
0.000378	6	2	6	1	1	tMatch	sigma	5
0.000479	6	2	7	1	1	tMatch	sigma	5
0.000593	6	2	8	1	1	tMatch	sigma	5
0.000715	6	2	9	1	1	tMatch	sigma	5
0.000871	6	2	10	1	1	tMatch	sigma	5
0.000218	6	3	1	1	1	tMatch	sigma	5
0.000255	6	3	2	1	1	tMatch	sigma	5
0.000259	6	3	3	1	1	tMatch	sigma	5
0.000291	6	3	4	1	1	tMatch	sigma	5
0.000419	6	3	5	1	1	tMatch	sigma	5
0.000566	6	3	6	1	1	tMatch	sigma	5
0.000726	6	3	7	1	1	tMatch	sigma	5
0.000901	6	3	8	1	1	tMatch	sigma	5
0.001084	6	3	9	1	1	tMatch	sigma	5
0.001307	6	3	10	1	1	tMatch	sigma	5
0.000322	6	4	1	1	1	tMatch	sigma	5
0.000368	6	4	2	1	1	tMatch	sigma	5
0.000354	6	4	3	1	1	tMatch	sigma	5
